,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,anime
140,140,Makoto ITOU,Unknown,Male,Black,3.6,14.0,Unknown,Unknown,Unknown,"Teenagers, High School Students, Hair Antenna",680.0,7.325,"Makoto Itou is nothing more than an average high school student, with all the quirks and foibles of any young man of his age. Captivated by the beauty of Kotonoha Katsura , with whom he rides the train every morning, he develops a crush on her, but his shyness prevents him from making a move until the energetic Sekai Saionji decides to help.",https://www.anime-planet.com/characters/makoto-itou,School Days
143,143,Motoharu YANO,Unknown,Male,Brown,3.425,2.609,Unknown,Unknown,Unknown,"Mischievous, High School Students, Student Council, Teenagers, Lazy",712.0,194,Unknown,https://www.anime-planet.com/characters/motoharu-yano,We Were There
146,146,Seishin MUROI,Unknown,Male,Grey,2.498,535.0,Unknown,Unknown,Unknown,"Writers, Glasses, Adults, Monks",962.0,712,"Seishin is a junior monk at the local temple who has been friends with Toshio and Mikiyasu since childhood. He is an intelligent young man who writes books on the side, which are particularly popular with the Kirishiki. Calm and collected, he has a quiet and brooding personality, which is reflected in the plots of his novels.",https://www.anime-planet.com/characters/seishin-muroi,Shiki
149,149,Ikaruga,Unknown,Female,Pink,4.745,1.005,Unknown,Unknown,Unknown,"Assassins, Chokers, Magic Users, Sword Fighters",512.0,438,Unknown,https://www.anime-planet.com/characters/ikaruga,Fairy Tail
152,152,Kyuzo,Unknown,Male,Blonde,4.915,35.558,Unknown,Unknown,Unknown,"Stoic, Dual Wielders, Samurai, Adults, Blinding Bangs",491.0,7,Unknown,https://www.anime-planet.com/characters/kyuzo,Samurai 7
163,163,Heihachi HAYASHIDA,Unknown,Male,Orange,5.776,24.833,Unknown,Unknown,Unknown,"Adults, Big Eaters, Goggles, Mechanics, Samurai, Closed Eyes, Hats",411.0,13,Unknown,https://www.anime-planet.com/characters/heihachi-hayashida,Samurai 7
169,169,Sherry BLENDY,Unknown,Female,Purple,2.836,957.0,Unknown,Unknown,Unknown,"Magic Users, Pigtails, Teenagers",856.0,452,Unknown,https://www.anime-planet.com/characters/sherry-blendy,Fairy Tail
194,194,Kouichi KIMURA,Unknown,Male,Black,6.889,14.471,Unknown,Unknown,Unknown,Person in a Strange World,334.0,29,Unknown,https://www.anime-planet.com/characters/kouichi-kimura,Digimon Frontier
196,196,Benio AMAKUSA,"Benibara-sama, Lady of the Red Rose",Female,Brown,6.491,96.0,Unknown,Unknown,Unknown,"Actors, Bifauxnen, Flirts, High School Students, Teenagers, Wealthy",359.0,2.387,"The undisputed queen of the St. Lobelia's Zuka Club, Benio's natural grace, intelligence, and prince-like looks have garnered her legions of devout fans. When she turns her charms on the girls of her school, she is as every bit the able lady killer as Tamaki . As is the case with all Zuka Club members, she's an accomplished dancer and actress.",https://www.anime-planet.com/characters/benio-amakusa,Ouran High School Host Club
201,201,Onigiri,Buta-kun,Male,Black,6.39,1.265,Unknown,Unknown,Unknown,"Athletes, Middle School Students, Overweight, Perverted, Teenagers",366.0,358,Unknown,https://www.anime-planet.com/characters/onigiri,Air Gear
202,202,Yoki,Unknown,Male,Black,4.376,93.0,Black,Unknown,Unknown,"Adults, Cowardly, Facial Hair",559.0,2.403,Unknown,https://www.anime-planet.com/characters/yoki,Fullmetal Alchemist
204,204,Li NIE,Unknown,Male,Brown,6.638,26.995,Unknown,Unknown,Unknown,Unknown,350.0,12,Unknown,https://www.anime-planet.com/characters/li-nie,Yaoshenji
210,210,Nui HARIME,The Grand Couturier,Female,Blonde,2.702,202.0,Unknown,Unknown,Unknown,"Sword Fighters, Pigtails, Eye Patches",892.0,1.471,Unknown,https://www.anime-planet.com/characters/nui-harime,Kill La Kill
214,214,Masamune DATE,The One Eyed Dragon of Oshu,Male,Brown,2.413,23.644,Unknown,Unknown,Unknown,"Adults, Eye Patches, Helmets, Historical Figures, Military, Samurai",997.0,14,Unknown,https://www.anime-planet.com/characters/masamune-date,Gakuen Basara: Samurai High School
219,219,Spitfire,Unknown,Male,Orange,3.242,8.284,Unknown,Unknown,Unknown,"Adults, Athletes",751.0,59,"Being the first to receive the title of Flame King after demonstrating speeds so high that he can create an illusion of trailing flames, Spitfire remains cool and collected in tight situations. Despite the fact he is a barber by day, he has the skills to create an illusion of time standing still.",https://www.anime-planet.com/characters/spitfire,Air Gear
234,234,Sorey,Unknown,Male,Brown,4.953,30.023,Green,Unknown,Unknown,"Piercings, Sword Fighters, Travelers",488.0,10,Unknown,https://www.anime-planet.com/characters/sorey,Tales of Zestiria: Dawn of the Shepherd
237,237,Heinkel,Unknown,Male,Blonde,3.778,2.787,Unknown,Unknown,Unknown,"Adults, Facial Hair, Glasses, Military, Shapeshifters",650.0,181,Unknown,https://www.anime-planet.com/characters/heinkel,Fullmetal Alchemist: Brotherhood
246,246,Jerso,Unknown,Male,Black,3.831,2.608,Unknown,Unknown,Unknown,"Adults, Dark-skinned, Dreadlocks, Military, Ponytail, Shapeshifters, Superpowers",640.0,194,Unknown,https://www.anime-planet.com/characters/jerso,Fullmetal Alchemist: Brotherhood
248,248,Broly,The Legendary Super Saiyan,Male,Black,3.094,4.079,Unknown,Unknown,Unknown,"Warriors, Piercings, Muscular, Aliens, Scars",783.0,126,Unknown,https://www.anime-planet.com/characters/broly,Dragon Ball Super Movie: Broly
252,252,Jin-Ho YOO,Unknown,Male,Brown,3.319,13.73,Black,Unknown,Unknown,"Superpowers, Wealthy, Hunters, Crybabies, Adults",735.0,32,Unknown,https://www.anime-planet.com/characters/jin-ho-yoo,Only I Level Up (Novel)
253,253,Hina KAMISHIRO,Unknown,Female,Brown,6.57,7.442,Unknown,Unknown,Unknown,"Children, Elementary School Students, Musicians, Pianists, Wealthy",354.0,67,Unknown,https://www.anime-planet.com/characters/hina-kamishiro,Ouran High School Host Club
254,254,Yasuchika HANINOZUKA,Chika-chan,Male,Brown,6.593,2.554,Unknown,Unknown,Unknown,"Glasses, Martial Artists, Wealthy",352.0,198,Hunny 's younger brother is as deadly serious as the upperclassman is playful and silly. Chika is also an accomplished martial artist of the Haninozuka school and has devoted his life to maintaining the reputation of his father's dojo.,https://www.anime-planet.com/characters/yasuchika-haninozuka,Ouran High School Host Club
257,257,Kouji MINAMOTO,Unknown,Male,Black,5.565,12.639,Unknown,Unknown,Unknown,"Bandanas, Children, Person in a Strange World, Ponytail",429.0,35,Unknown,https://www.anime-planet.com/characters/kouji-minamoto,Digimon Frontier
258,258,Yulier,Unknown,Female,Grey,3.976,4.44,Unknown,Unknown,Unknown,"Person in a Strange World, Ponytail, Video Gamers, Warriors",618.0,117,Unknown,https://www.anime-planet.com/characters/yulier,Sword Art Online
261,261,Jin-Ah SUNG,Unknown,Female,Unknown,3.78,27.163,Black,Unknown,Unknown,"High School Students, Ponytail, Teenagers",650.0,12,Unknown,https://www.anime-planet.com/characters/jin-ah-sung,Only I Level Up (Novel)
264,264,Mimi TACHIKAWA,Unknown,Female,Brown,2.771,1.827,Unknown,Unknown,Unknown,"Hats, Monster Tamers, Person in a Strange World",870.0,266,"Mimi is a young, prissy, spoiled, but kind girl. She sometimes cares more about her clothes that the actual situation, and often seems ditzy. She also tends to complain a lot, usually when she has to do large amounts of physical activity. She is really good friends with her Digimon partner, Palmon.",https://www.anime-planet.com/characters/mimi-tachikawa,Digimon Adventure
266,266,Ilpyo PARK,Unknown,Male,Black,4.208,30.256,Unknown,Unknown,Unknown,"Martial Artists, Teenagers",584.0,10,Unknown,https://www.anime-planet.com/characters/ilpyo-park,The God of High School
280,280,Shirou TAKAOUJI,Unknown,Male,Brown,5.107,1.215,Unknown,Unknown,Unknown,"Children, Elementary School Students, Mischievous, Musicians, Wealthy, Pianists",473.0,373,Unknown,https://www.anime-planet.com/characters/shirou-takaouji,Ouran High School Host Club
286,286,Fuyumi OTORI,Unknown,Female,Black,6.986,4.994,Unknown,Unknown,Unknown,"Wealthy, Adults",329.0,104,Unknown,https://www.anime-planet.com/characters/fuyumi-otori,Ouran High School Host Club
309,309,Issa MIHOTOKE,"Fat Buccha, Issha MIHOTOKE",Male,Unknown,4.343,3.933,Unknown,Unknown,Unknown,"Athletes, Bald, Big Eaters, Dark-skinned, Middle School Students, Muscular, Overweight, Teenagers",563.0,130,Unknown,https://www.anime-planet.com/characters/issha-mihotoke,Air Gear
320,320,Izumi ORIMOTO,Zoe ORIMOTO,Female,Blonde,7.205,8.705,Unknown,Unknown,Unknown,"Children, Hats, Person in a Strange World",318.0,56,Unknown,https://www.anime-planet.com/characters/izumi-orimoto,Digimon Frontier
323,323,Ye Xiu,"Jun Mo Xiao, Lord Grim, One Autumn Leaf, Ye Qiu, Yi Ye Zhi Qiu",Male,Black,2.711,34.684,Unknown,Unknown,Unknown,"Adults, Analytical, Smokers, Unconventional Weapon, Video Gamers",891.0,8,Unknown,https://www.anime-planet.com/characters/ye-xiu,Quanzhi Gaoshou 2
327,327,Antoinette,Unknown,Female,Brown,2.545,6.466,Unknown,Unknown,Unknown,"Animals, Dogs",946.0,79,Unknown,https://www.anime-planet.com/characters/antoinette,Ouran High School Host Club
331,331,Holland NOVAK,Unknown,Male,Grey,2.963,2.476,Blue,Unknown,Unknown,"Adults, Facial Hair, Hot-Headed, Mecha Pilots, Scarves",819.0,203,"The hot-tempered leader of the rebellious Gekko State, Holland is called ""Leader"" by his crew members, whom he regards as family. Despite his fierce temper, this audacious LFO pilot is revered as a global icon amongst 'lifters' for his skills and philosophy of freedom.",https://www.anime-planet.com/characters/holland-novak,Eureka Seven
333,333,Alisha DIPHDA,Maocs Amecca,Female,Blonde,5.337,11.749,Green,Unknown,Unknown,"Armor, Hair Drills, Knights, Lancers, Ponytail, Royalty",451.0,39,Unknown,https://www.anime-planet.com/characters/alisha-diphda,Tales of Zestiria: Dawn of the Shepherd
335,335,Tetsuya SENDOU,Unknown,Male,Brown,6.519,6.546,Unknown,Unknown,Unknown,"Piercings, Teenagers, Ponytail",357.0,78,Unknown,https://www.anime-planet.com/characters/tetsuya-sendou,Ouran High School Host Club
336,336,Jou KIDO,Joe KIDO,Male,Blue,3.342,2.788,Unknown,Unknown,Unknown,"Glasses, Monster Tamers, Person in a Strange World",730.0,181,"At twelve years old, Joe is the oldest of the DigiDestined and often tries to act the most mature. He’s often the voice of reason within the group of kids, and is very mature and dependable. Although Joe worries far too much, his Digimon partner Gomamon tries to make situations less serious.",https://www.anime-planet.com/characters/jou-kido,Digimon Adventure
338,338,Father,The Little Man in the Flask,Male,Blonde,2.862,49.0,Unknown,Unknown,Unknown,"Alchemists, Facial Hair, God Complex, Human Guise, Immortal",848.0,3.376,Unknown,https://www.anime-planet.com/characters/father,Fullmetal Alchemist: Brotherhood
344,344,Ju-Hee LEE,Unknown,Female,Orange,5.962,11.12,Blue,Unknown,Unknown,"Superpowers, Rapunzel Hair, Adults",398.0,42,Unknown,https://www.anime-planet.com/characters/ju-hee-lee,Solo Leveling
345,345,Isao SONODA,Misuzu,Male,Brown,5.247,3.653,Unknown,Unknown,Unknown,"Adults, Crossdressers, Headbands",458.0,141,Unknown,https://www.anime-planet.com/characters/isao-sonoda,Ouran High School Host Club
347,347,Argo,Rat,Female,Brown,4.969,2.185,Unknown,Unknown,Unknown,"Bandages, Claw Weapons, Information Brokers, Person in a Strange World, Video Gamers, Writers",486.0,226,Unknown,https://www.anime-planet.com/characters/argo,Sword Art Online
349,349,Kanako KASUGASAKI,Unknown,Female,Brown,6.787,4.058,Unknown,Unknown,Unknown,"High School Students, Teenagers, Wealthy",340.0,127,Unknown,https://www.anime-planet.com/characters/kanako-kasugasaki,Ouran High School Host Club
354,354,Kirimi NEKOZAWA,Unknown,Female,Blonde,2.537,2.263,Unknown,Unknown,Unknown,"Children, Pigtails, Wealthy, Hair Ribbons",947.0,218,Unknown,https://www.anime-planet.com/characters/kirimi-nekozawa,Ouran High School Host Club
363,363,Balmung,Balmung of the Azure Sky,Male,White,6.08,18.76,Unknown,Unknown,Unknown,"Armor, Headbands, Magic Users, Sword Fighters, Video Gamers, Warriors, Wings",388.0,20,"Serious and chivalrous, Balmung finds it hard to trust people. However, once a person has proved their worth and reliability to him, he is a strong friend to rely on. With a character design won from a competition, he is very distinctive surrounded by large, white wings.",https://www.anime-planet.com/characters/balmung,Daitai 3-pun de Wakaru: .hack History
367,367,Arai,Unknown,Male,Brown,4.157,3.481,Unknown,Unknown,Unknown,Teenagers,592.0,148,Unknown,https://www.anime-planet.com/characters/arai,Ouran High School Host Club
376,376,Takuya KANBARA,Unknown,Male,Brown,6.851,15.68,Unknown,Unknown,Unknown,"Children, Gloves, Goggles, Hats, Person in a Strange World",336.0,26,Unknown,https://www.anime-planet.com/characters/takuya-kanbara,Digimon Frontier
384,384,Godfree,Unknown,Male,Brown,5.164,1.423,Unknown,Unknown,Unknown,"Adults, Armor, Axe Wielders, Capes, Epic Eyebrows, Facial Hair, Person in a Strange World, Video Gamers, Warriors",467.0,327,Unknown,https://www.anime-planet.com/characters/godfree,Sword Art Online
386,386,Zampano,Unknown,Male,Blonde,4.116,3.124,Unknown,Unknown,Unknown,"Adults, Glasses, Military, Shapeshifters, Superpowers",598.0,164,Unknown,https://www.anime-planet.com/characters/zampano,Fullmetal Alchemist: Brotherhood
389,389,Diabel,Unknown,Male,Turquoise,2.973,1.651,Unknown,Unknown,Unknown,"Warriors, Video Gamers, Sword Fighters, Person in a Strange World, Armor",818.0,288,Unknown,https://www.anime-planet.com/characters/diabel,Sword Art Online
417,417,Yukimura SANADA,Unknown,Male,Brown,4.046,12.624,Unknown,Unknown,Unknown,"Dual Wielders, Headbands, Historical Figures, Honorable Fighters, Lancers, Military, Muscular, Samurai",608.0,35,Unknown,https://www.anime-planet.com/characters/yukimura-sanada-sengoku-basara,Gakuen Basara: Samurai High School
424,424,Junko KONNO,Number 4,Female,White,4.698,18.683,Unknown,Unknown,Unknown,"Hair Ribbons, Idols, Undead",518.0,21,Unknown,https://www.anime-planet.com/characters/junko-konno,Curry Meshi x Zombieland Saga
428,428,Kotaro TATSUMI,Unknown,Male,Brown,3.112,8.654,Unknown,Unknown,Unknown,Sunglasses,780.0,57,Unknown,https://www.anime-planet.com/characters/kotaro-tatsumi,Zombie Land Saga
439,439,Tamama,Unknown,Male,Unknown,6.849,14.428,Unknown,Unknown,Unknown,"Sweet Tooth, Military, Big Eaters, Aliens, Bisexual, LGBT+",336.0,29,"Private Second Class Tamama is the most junior member of the Keroro Platoon. He lives with Momoka at her mansion and spends vast amounts of time gorging himself on cakes, candy and anything sweet. Though he has a cute and innocent exterior, Tamama is capable of producing a powerful destructive beam from his mouth. He idolises Keroro and has an intense hatred and jealousy of Mois due to her closeness with the sergeant.",https://www.anime-planet.com/characters/tamama,Chibi Kero: Secret of the Kero Ball
444,444,Rikka TAKARADA,Unknown,Female,Black,6.148,22.413,Blue,"December 15, 2002",O,High School Students,383.0,16,Unknown,https://www.anime-planet.com/characters/rikka-takarada,SSSS.Gridman
445,445,Tenri AYUKAWA,Unknown,Female,Black,4.018,18.873,Unknown,Unknown,Unknown,"Blinding Bangs, Braids, Hair Ribbons, High School Students, Shared Body, Shy, Teenagers",611.0,20,Unknown,https://www.anime-planet.com/characters/tenri,The World God Only Knows: Goddesses Arc
459,459,Shoko MAKINOHARA,Unknown,Female,Black,4.228,9.359,Unknown,Unknown,Unknown,"Middle School Students, Teenagers",582.0,52,Unknown,https://www.anime-planet.com/characters/shoko-makinohara,Rascal Does Not Dream of a Dreaming Girl
462,462,Remon YAMANO,Unknown,Female,Brown,2.672,10.811,Unknown,Unknown,Unknown,"Hair Ribbons, High School Students, Mischievous, Pigtails",903.0,43,Unknown,https://www.anime-planet.com/characters/remon-yamano,Waiting in the Summer
467,467,Amira,Unknown,Female,Pink,3.134,24.166,Unknown,Unknown,Unknown,"Big Eaters, Capes, Demons, Person in a Strange World, Pigtails",774.0,14,Unknown,https://www.anime-planet.com/characters/amira,Rage of Bahamut: Genesis
470,470,Elliot NIGHTRAY,Unknown,Male,Brown,2.621,7.603,Unknown,Unknown,Unknown,"Tsundere, Teenagers, Nobility, Musicians, Moles, Hot-Headed, High School Students, Pianists",922.0,65,Unknown,https://www.anime-planet.com/characters/elliot-nightray,Pandora Hearts
471,471,Intention of the Abyss,Unknown,Female,White,3.06,5.032,Unknown,Unknown,Unknown,"Immortal, Braids",792.0,103,Unknown,https://www.anime-planet.com/characters/intention-of-the-abyss,Pandora Hearts
493,493,Hamrio MUSICA,Silver-Claimer,Male,Unknown,5.256,17.57,Unknown,Unknown,Unknown,"Piercings, Tattoos, Thieves",457.0,22,Unknown,https://www.anime-planet.com/characters/hamrio-musica,Fairy Tail x Rave
496,496,Sora TAKEUCHI,Unknown,Male,Black,6.89,3.417,Unknown,Unknown,Unknown,"Adults, Hats, Athletes",334.0,151,Unknown,https://www.anime-planet.com/characters/sora-takeuchi,Air Gear
506,506,Elie,Unknown,Female,Brown,3.251,15.242,Unknown,Unknown,Unknown,"Amnesia, Dual Wielders, Gunslingers",749.0,27,Unknown,https://www.anime-planet.com/characters/elie,Fairy Tail x Rave
512,512,Haru GLORY,Rave Master,Male,Grey,3.081,22.627,Unknown,Unknown,Unknown,"Oversized Weapons, Piercings, Sword Fighters, Travelers",786.0,15,Unknown,https://www.anime-planet.com/characters/haru-glory,Fairy Tail x Rave
516,516,Kageyama,Unknown,Male,Black,5.819,1.315,Unknown,Unknown,Unknown,"Magic Users, Teenagers, Darkness Powers, Elemental Powers",407.0,349,Unknown,https://www.anime-planet.com/characters/kageyama,Fairy Tail
520,520,Akainu,Sakazuki,Male,Black,4.047,24.0,Unknown,August 16,Unknown,"Abnormally Tall, Adults, Hats, Manipulative, Military, Muscular, Ruthless, Sailors, Superpowers, Tattoos",608.0,5.212,"Akainu is one of the three Marine Admirals alongside Aokiji and Kizaru . He lives by a code of absolute justice and is wholly emotionless and unforgiving. Wielding the volcanic power of the Magu Magu fruit, Akainu is far more ruthless than his comrades and will use any underhanded tactic to attain his goal.",https://www.anime-planet.com/characters/akainu,Hungry Days x One Piece
